^NSEI,Nifty50
JIOFIN.NS,Nifty50
ADANIENT.NS,Nifty50
ADANIPORTS.NS,Nifty50
APOLLOHOSP.NS,Nifty50
ASIANPAINT.NS,Nifty50
AXISBANK.NS,Nifty50
BAJAJ-AUTO.NS,Nifty50
BAJFINANCE.NS,Nifty50
BAJAJFINSV.NS,Nifty50
BPCL.NS,Nifty50
BHARTIARTL.NS,Nifty50
BRITANNIA.NS,Nifty50
CIPLA.NS,Nifty50
COALINDIA.NS,Nifty50
DIVISLAB.NS,Nifty50
DRREDDY.NS,Nifty50
EICHERMOT.NS,Nifty50
GRASIM.NS,Nifty50
HCLTECH.NS,Nifty50
HDFCBANK.NS,Nifty50
HDFCLIFE.NS,Nifty50
HEROMOTOCO.NS,Nifty50
HINDALCO.NS,Nifty50
HINDUNILVR.NS,Nifty50
ICICIBANK.NS,Nifty50
INDUSINDBK.NS,Nifty50
INFY.NS,Nifty50
ITC.NS,Nifty50
JSWSTEEL.NS,Nifty50
KOTAKBANK.NS,Nifty50
LT.NS,Nifty50
LTIM.NS,Nifty50
M&M.NS,Nifty50
MARUTI.NS,Nifty50
NESTLEIND.NS,Nifty50
NTPC.NS,Nifty50
ONGC.NS,Nifty50
POWERGRID.NS,Nifty50
RELIANCE.NS,Nifty50
SBILIFE.NS,Nifty50
SBIN.NS,Nifty50
SUNPHARMA.NS,Nifty50
TATAMOTORS.NS,Nifty50
TATASTEEL.NS,Nifty50
TCS.NS,Nifty50
TATACONSUM.NS,Nifty50
TECHM.NS,Nifty50
TITAN.NS,Nifty50
ULTRACEMCO.NS,Nifty50
UPL.NS,Nifty50
Wipro.NS,Nifty50